feature,feature_family,dtype,missing_pct,unique_count,preliminary_priority,rationale
total_consumption_kwh_rolling_mean_6h,target_rolling,float64,0.013691,235404,high,EDA-supported feature family.
total_consumption_kwh_rolling_std_6h,target_rolling,float64,0.013691,262907,high,EDA-supported feature family.
total_consumption_kwh_rolling_min_6h,target_rolling,float64,0.013691,120112,high,EDA-supported feature family.
total_consumption_kwh_rolling_max_6h,target_rolling,float64,0.013691,125068,high,EDA-supported feature family.
total_consumption_kwh_rolling_mean_24h,target_rolling,float64,0.054765,254333,high,EDA-supported feature family.
total_consumption_kwh_rolling_std_24h,target_rolling,float64,0.054765,262778,high,EDA-supported feature family.
total_consumption_kwh_rolling_min_24h,target_rolling,float64,0.054765,22488,high,EDA-supported feature family.
total_consumption_kwh_rolling_max_24h,target_rolling,float64,0.054765,27713,high,EDA-supported feature family.
total_consumption_kwh_rolling_mean_168h,target_rolling,float64,0.383352,260684,high,EDA-supported feature family.
total_consumption_kwh_rolling_std_168h,target_rolling,float64,0.383352,261925,high,EDA-supported feature family.
total_consumption_kwh_rolling_min_168h,target_rolling,float64,0.383352,6956,high,EDA-supported feature family.
total_consumption_kwh_rolling_max_168h,target_rolling,float64,0.383352,7952,high,EDA-supported feature family.
temperature_change_1h,weather_change,float64,0.081006,592,high,EDA-supported feature family.
temperature_change_24h,weather_change,float64,0.162012,1364,high,EDA-supported feature family.
humidity_change_1h,weather_change,float64,0.083288,80,high,EDA-supported feature family.
pressure_change_1h,weather_change,float64,0.081006,151,high,EDA-supported feature family.
temperature_rolling_mean_6h,weather_rolling,float64,0.192817,16918,high,EDA-supported feature family.
temperature_rolling_mean_24h,weather_rolling,float64,0.681134,22760,high,EDA-supported feature family.
humidity_rolling_mean_6h,weather_rolling,float64,0.199662,491,high,EDA-supported feature family.
humidity_rolling_mean_24h,weather_rolling,float64,0.708516,1733,high,EDA-supported feature family.
heating_degree_c,weather_nonlinear,float64,0.053624,393,high,EDA-supported feature family.
cooling_degree_c,weather_nonlinear,float64,0.053624,172,high,EDA-supported feature family.
temperature_x_hour,interaction,Float64,0.053624,5402,medium,Retain for model-specific evaluation.
temperature_x_weekend,interaction,Float64,0.053624,543,medium,Retain for model-specific evaluation.
